id,question_text,question_type,question_id,set_id
10001,  Kinetic energy ,P,1,1
10002,  Magnetic field ,P,2,1
10003,  Potential energy ,P,3,1
10004,  Field ,P,4,1
10005,  Energy ,P,5,1
10006,  Field line ,P,6,1
10007,  Force ,P,7,1
10008,  Electric potential ,P,8,1
10009,  Voltage ,P,9,1
10010,  Gravity ,P,10,1
10011,  Electric field ,P,11,1
10012,  Speed ,P,12,1
10013,  Lorentz force ,P,13,1
10014,  Angular velocity ,P,14,1
10015,  Mass ,P,15,1
10016,  Net force ,P,1,2
10017,  Charge ,P,2,2
10018,  Angular momentum ,P,3,2
10019,  Electricity ,P,4,2
10020,  Magnetism ,P,5,2
10021,  Magnetic dipole ,P,6,2
10022,  Potential ,P,8,2
10023,  Thermal energy ,P,9,2
10024,  Electrci field ,P,11,2
10025,  Wave speed ,P,12,2
10026,  Magnetic field ,P,13,2
10027,  Light ,P,14,2
10028,  Electron ,P,15,2
10029,  Mechanical energy ,P,1,3
10030,  Coulomb law ,P,2,3
10031,  Fermi energy ,P,3,3
10032,  Electric charge ,P,4,3
10033,  Energy level ,P,5,3
10034,  Charge density ,P,6,3
10035,  Angular frequency ,P,7,3
10036,  Internal energy ,P,8,3
10037,  Magnetic energy ,P,9,3
10038,  Angular acceleration ,P,10,3
10039,  Gaussian surface ,P,11,3
10040,  Energy density ,P,12,3
10041,  Surface charge ,P,13,3
10042,  Friction ,P,14,3
10043,  Electric dipole moment ,P,15,3
10044,  Sound ,P,1,4
10045,  Acceleration ,P,2,4
10046,  Gravitational potential ,P,3,4
10047,  Angular velocity ,P,4,4
10048,  Current density ,P,5,4
10049,  Velocity ,P,6,4
10050,  Mass Number,P,7,4
10051,  Hooke law ,P,8,4
10052,  Charged particle ,P,9,4
10053,  Motion ,P,10,4
10054,  Momentum ,P,11,4
10055,  Quantum number ,P,12,4
10056,  Time constant ,P,13,4
10057,  Dipole moment ,P,14,4
10058,  Temperature ,P,15,4
10059,  Invariant mass ,P,1,5
10060,  Phase (waves) ,P,2,5
10061,  Momentum ,P,3,5
10062,  Wavelength ,P,4,5
10063,  Wave equation ,P,5,5
10064,  Ideal gas ,P,6,5
10065,  Electromagnetic radiation ,P,7,5
10066,  Matter wave ,P,8,5
10067,  Valence and conduction bands ,P,9,5
10068,  Density ,P,10,5
10069,  Electric current ,P,11,5
10070,  Wavenumber ,P,12,5
10071,  Photon energy ,P,13,5
10072,  Speed ,P,14,5
10073,  Gauss law ,P,15,5
10074,  Electron rest mass ,P,1,6
10075,  Alpha particle ,P,2,6
10076,  Binding energy ,P,3,6
10077,  Frequency ,P,4,6
10078,  Angular displacement ,P,5,6
10079,  Number density ,P,6,6
10080,  Harmonic motion ,P,7,6
10081,  Wave function ,P,8,6
10082,  Displacement current ,P,9,6
10083,  Magnetic flux ,P,10,6
10084,  Energy level ,P,11,6
10085,  Charge carrier ,P,12,6
10086,  Capacitor ,P,13,6
10087,  Pressure ,P,14,6
10088,  Dipole  ,P,15,6
10089,  Maxima and minima ,P,1,7
10090,  Euclidean vector ,P,2,7
10091,  Molar mass ,P,3,7
10092,  Heat ,P,4,7
10093,  Ray (optics) ,P,5,7
10094,  Friction ,P,6,7
10095,  Magnetic moment ,P,7,7
10096,  Relative velocity ,P,8,7
10097,  Linearity ,P,10,7
10098,  Electrical energy ,P,11,7
10099,  Circuit ,P,12,7
10100,  Quantum mechanics ,P,13,7
10101,  Maxwelll Boltzmann distribution ,P,14,7
10102,  Amplitude ,P,15,7
10103,  Diffraction ,P,1,8
10104,  Resistance ,P,2,8
10105,  Atomic mass ,P,3,8
10106,  Torque ,P,4,8
10107,  Unit vector ,P,5,8
10108,  Stored energy ,P,6,8
10109,  Current loop ,P,7,8
10110,  Gravitational acceleration ,P,8,8
10111,  Moment of inertia ,P,9,8
10112,  Entropy ,P,10,8
10113,  Electromagnetic induction ,P,11,8
10114,  Electromagnetism ,P,12,8
10115,  Interference ,P,13,8
10116,  Probability density function ,P,14,8
10117,  Isochoric process ,P,15,8
10118, Absolute_zero,C,1,1
10119, Activation_energy,C,2,1
10120, Adhesion ,C,3,1
10121, Adsorption,C,4,1
10122, Aldehyde,C,5,1
10123, Alkaline_earth_metal,C,6,1
10124, Alkene,C,7,1
10125, Alkyne,C,8,1
10126, Analytical_chemistry,C,9,1
10127, Aromaticity,C,10,1
10128, Atomic_orbital,C,11,1
10129, Avogadro_constant,C,12,1
10130, Barometer,C,13,1
